date,mean_date_no,original_date_no,date_no,sample_id,fish_prey_stage,sample_mg_dm,sample_mg_dm01,site,fish_species,prey_stage
2019-06-13,31.691419141914192,10,-21.691419141914192,57,Cyprinella spiloptera_p,0,0.01,burbank,Cyprinella spiloptera,p
2019-06-13,31.691419141914192,10,-21.691419141914192,58,Pimephales promelas_a,0,0.01,little bridge,Pimephales promelas,a
2019-06-13,31.691419141914192,10,-21.691419141914192,58,Pimephales promelas_l,0,0.01,little bridge,Pimephales promelas,l
2019-06-13,31.691419141914192,10,-21.691419141914192,58,Pimephales promelas_p,0,0.01,little bridge,Pimephales promelas,p
2019-06-14,31.691419141914192,11,-20.691419141914192,59,Micropterus salmoides_a,0,0.01,gunderson,Micropterus salmoides,a
2019-06-14,31.691419141914192,11,-20.691419141914192,59,Micropterus salmoides_l,0,0.01,gunderson,Micropterus salmoides,l
2019-06-14,31.691419141914192,11,-20.691419141914192,59,Micropterus salmoides_p,0,0.01,gunderson,Micropterus salmoides,p
2019-06-13,31.691419141914192,10,-21.691419141914192,60,Notropis blennius_a,0,0.01,burbank,Notropis blennius,a
2019-06-13,31.691419141914192,10,-21.691419141914192,60,Notropis blennius_l,0,0.01,burbank,Notropis blennius,l
2019-06-13,31.691419141914192,10,-21.691419141914192,60,Notropis blennius_p,0,0.01,burbank,Notropis blennius,p
2019-06-13,31.691419141914192,10,-21.691419141914192,61,Luxilus cornutus_a,0,0.01,little bridge,Luxilus cornutus,a
2019-06-13,31.691419141914192,10,-21.691419141914192,61,Luxilus cornutus_l,0,0.01,little bridge,Luxilus cornutus,l
2019-06-13,31.691419141914192,10,-21.691419141914192,61,Luxilus cornutus_p,0,0.01,little bridge,Luxilus cornutus,p
2019-06-13,31.691419141914192,10,-21.691419141914192,62,Cyprinella lutrensis_a,0,0.01,burbank,Cyprinella lutrensis,a
2019-06-13,31.691419141914192,10,-21.691419141914192,62,Cyprinella lutrensis_l,2.566319098057384,2.576319098057384,burbank,Cyprinella lutrensis,l
2019-06-13,31.691419141914192,10,-21.691419141914192,62,Cyprinella lutrensis_p,0,0.01,burbank,Cyprinella lutrensis,p
2019-06-13,31.691419141914192,10,-21.691419141914192,63,Pimephales promelas_a,0,0.01,little bridge,Pimephales promelas,a
2019-06-13,31.691419141914192,10,-21.691419141914192,63,Pimephales promelas_l,0,0.01,little bridge,Pimephales promelas,l
2019-06-13,31.691419141914192,10,-21.691419141914192,63,Pimephales promelas_p,0,0.01,little bridge,Pimephales promelas,p
2019-06-13,31.691419141914192,10,-21.691419141914192,64,Ameiurus melas_a,0,0.01,little bridge,Ameiurus melas,a
2019-06-13,31.691419141914192,10,-21.691419141914192,64,Ameiurus melas_l,5.774217970629114,5.784217970629114,little bridge,Ameiurus melas,l
